DW_DATE_KEY|D_TRANSACTION_TYPE_KEY|DW_ACCOUNT_TYPE_KEY|AMOUNT
20121018|1|229|329700
20121018|2|350|50950
20121018|4|2|3266500
20121018|2|7|12570083541.49
20121018|2|282|3278.69
20121018|1|111|12750
20121018|5|94|91.65
20121018|2||1187566002.08
20121018|5|126|308700
20121018|5|303|3299161.21
20121018|5|387|49000
20121018|2|384|141120
20121018|2|349|50000
20121018|2|353|542270
20121018|5|2|77969500
20121018|5|85|1956661.33
20121018|1|261|29480240
20121018|5|264|620766497.31
20121018|5|121|233329350.78
20121018|6|6|504091
20121018|2|358|2047720.85
20121018|2|329|128562.39
20121018|5|86|91220
20121018|4|264|473920420
20121018|6|261|79542632.76
20121018|5|355|387
20121018|5|291|4469.77
20121018|5|106|144530.3
20121018|5|118|3262329.63
20121018|4|126|3900
20121018|5|238|5.55
20121018|4|118|150
20121018|5|104|76206493.69
20121018|2|85|7352792.28
20121018|4|1|7786166171.04
20121018|5|282|7383662.49
20121018|2|261|1117488117.75
20121018|5|260|12588218312.01
20121018|5|255|360830389.76
20121018|2|13|723129.43
20121018|5|14|1545561.19
20121018|5|237|10.98
20121018|2|9|7675935.75
20121018|2|95|631147.54
20121018|6|260|1415903.32
20121018|5|358|3000
20121018|6|229|1022225
20121018|5|351|21136
20121018|2|227|305601183.36
20121018|5|362|2315
20121018|5|247|564.1
20121018|2|131|52610250
20121018|5|83|260174.46
20121018|2|338|5.55
20121018|2|93|32.01
20121018|5|213|650000000
20121018|5|18|3400000000
20121018|2|23|2850000000
20121018|5|312|8040
20121018|2|111|3280169.91
20121018|2|354|327141
20121018|2|1|55109790.55
20121018|3|6|446757027.98
20121018|5|306|3635042.9
20121018|5|236|18464708.22
20121018|2|316|1433926.31
20121018|2|337|10.98
20121018|2|328|1298600.47
20121018|2|356|257450
20121018|4|227|13000
20121018|2|234|918.25
20121018|2|330|1459870.59
20121018|5|124|63204470.82
20121018|5|115|370354967.49
20121018|2|332|564.1
20121018|5|288|32.01
20121018|2|16|2200000000
20121018|5|125|16712116825.41
20121018|5|111|5512006.12
20121018|5|316|8564577.51
20121018|2|250|151333869.37
20121018|4|261|59879742.5
20121018|2|86|7828748.73
20121018|2|121|225764333.94
20121018|5|13|2240
20121018|2|14|19653.5
20121018|2|224|205900
20121018|5|377|92120
20121018|1|2|90240000
20121018|2|253|5747490
20121018|2|124|61354583.53
20121018|1|264|900146500
20121018|5|328|14.45
20121018|4|358|6400
20121018|5|1|78548095
20121018|5|7|13456508989.9
20121018|2|235|7295.81
20121018|2|94|582.43
20121018|2|106|568724.57
20121018|2|92|4469.77
20121018|2|118|83784.81
20121018|2|120|26740939.57
20121018|2|363|31250
20121018|3|115|1387.5
20121018|2|351|444113.22
20121018|5|284|518407.49
20121018|6|8|653388395.64
20121018|2|8|1319103568.71
20121018|5|281|3305164.71
20121018|5|337|649.23
20121018|2|255|37131962.59
20121018|4|258|504340368.77
20121018|2|347|725707.99
20121018|1|228|2000
20121018|5|107|1771662.54
